City,2018,2010,2000,1990,1980
,,,,,
,,,,,
,,,,,
Adair Village,860,840,536,554,589
Adams,375,350,297,223,240
Adrian,180,177,147,131,162
Albany,"53,145","50,158","40,852","29,540","26,511"
Amity,"1,655","1,614","1,478","1,175","1,092"
Antelope,50,46,59,34,39
Arlington,610,586,524,425,521
Ashland,"20,815","20,078","19,522","16,252","14,943"
Astoria,"9,695","9,477","9,813","10,069","9,996"
Athena,"1,170","1,026","1,221",997,965
Aumsville,"3,975","3,584","3,003","1,650","1,432"
Aurora,985,918,655,567,523
Baker City,"9,890","9,828","9,860","9,140","9,471"
Bandon,"3,155","3,066","2,833","2,215","2,311"
Banks,"1,785","1,777","1,286",563,489
Barlow,135,135,140,118,105
Bay City,"1,350","1,286","1,149","1,027",986
Beaverton,"97,000","89,803","76,129","53,307","31,962"
Bend,"89,505","76,639","52,029","20,447","17,260"
Boardman,"3,690","3,220","2,855","1,387","1,261"
Bonanza,455,415,415,323,270
Brookings,"6,630","6,336","5,447","4,400","3,384"
Brownsville,"1,705","1,668","1,449","1,281","1,261"
Burns,"2,830","2,806","3,064","2,913","3,579"
Butte Falls,440,423,439,252,428
Canby,"16,800","15,829","12,790","8,990","7,659"
Cannon Beach,"1,710","1,690","1,588","1,221","1,187"
Canyon City,705,703,669,648,639
Canyonville,"1,920","1,884","1,293","1,219","1,288"
Carlton,"2,270","2,007","1,514","1,289","1,302"
Cascade Locks,"1,375","1,144","1,115",930,838
Cave Junction,"1,940","1,883","1,363","1,126","1,023"
Central Point,"17,895","17,169","12,493","7,512","6,357"
Chiloquin,740,734,716,673,778
Clatskanie,"1,765","1,737","1,528","1,629","1,648"
Coburg,"1,195","1,035",969,763,699
Columbia City,"1,985","1,946","1,571","1,003",678
Condon,690,682,459,635,783
Coos Bay,"16,680","15,967","15,374","15,076","14,424"
Coquille,"3,915","3,866","4,184","4,121","4,481"
Cornelius,"11,935","11,869","9,652","6,148","4,402"
Corvallis,"59,280","54,462","49,322","44,757","40,960"
Cottage Grove,"10,005","9,686","8,445","7,403","7,148"
Cove,550,552,594,507,451
Creswell,"5,455","5,031","3,579","2,431","1,770"
Culver,"1,480","1,357",802,570,514
Dallas,"15,830","14,583","12,459","9,422","8,530"
Dayton,"2,720","2,534","2,119","1,526","1,409"
Dayville,155,149,138,144,199
Depoe Bay,"1,440","1,398","1,174",870,723
Detroit,210,202,262,331,367
Donald,985,979,608,316,267
Drain,"1,165","1,151","1,021","1,086","1,148"
Dufur,615,604,588,527,560
Dundee,"3,230","3,162","2,598","1,663","1,223"
Dunes City,"1,335","1,303","1,241","1,081","1,124"
Durham,"1,880","1,351","1,382",748,707
Eagle Point,"9,105","8,469","4,797","3,008","2,764"
Echo,710,699,650,500,624
Elgin,"1,730","1,711","1,654","1,586","1,701"
Elkton,215,195,147,172,155
Enterprise,"1,985","1,940","1,895","1,905","2,003"
Estacada,"3,400","2,695","2,371","2,016","1,419"
Eugene,"169,695","156,185","137,893","112,733","105,664"
Fairview,"8,990","8,920","7,561","2,391","1,749"
Falls City,955,947,966,818,804
Florence,"8,795","8,466","7,263","5,171","4,411"
Forest Grove,"24,125","21,083","17,708","13,559","11,499"
Fossil,475,473,469,399,535
Garibaldi,830,789,899,886,999
Gaston,655,637,600,563,471
Gates,485,471,471,499,455
Gearhart,"1,505","1,462",995,"1,027",967
Gervais,"2,585","2,464","2,009",992,799
Gladstone,"11,880","11,497","11,438","10,152","9,500"
Glendale,865,874,855,707,712
Gold Beach,"2,265","2,253","1,897","1,546","1,515"
Gold Hill,"1,220","1,220","1,073",964,904
Granite,40,38,24,8,17
Grants Pass,"37,285","34,533","23,003","17,503","15,032"
Grass Valley,165,164,171,160,164
Greenhorn,2,0,0,0,0
Gresham,"110,505","105,594","90,205","68,249","33,005"
Haines,415,416,426,405,341
Halfway,295,288,337,311,380
Halsey,935,904,724,667,693
Happy Valley,"20,945","13,903","4,519","1,519","1,499"
Harrisburg,"3,660","3,567","2,795","1,939","1,881"
Helix,195,184,183,150,155
Heppner,"1,295","1,291","1,395","1,412","1,498"
Hermiston,"18,200","16,745","13,154","10,047","8,408"
Hillsboro,"101,920","91,611","70,186","37,598","27,664"
Hines,"1,560","1,563","1,623","1,452","1,632"
Hood River,"7,990","7,167","5,831","4,632","4,329"
Hubbard,"3,305","3,173","2,483","1,881","1,640"
Huntington,445,440,515,522,539
Idanha,140,134,232,289,319
Imbler,305,306,284,299,292
Independence,"9,370","8,590","6,035","4,425","4,024"
Ione,330,329,321,255,345
Irrigon,"1,990","1,826","1,702",737,700
Island City,"1,130",989,916,696,477
Jacksonville,"2,980","2,785","2,235","1,896","2,030"
Jefferson,"3,245","3,098","2,487","1,805","1,702"
John Day,"1,735","1,744","1,821","1,836","2,012"
Johnson City,560,566,634,586,378
Jordan Valley,175,181,239,364,473
Joseph,"1,120","1,081","1,054","1,073",999
Junction City,"6,125","5,392","4,721","3,670","3,320"
Keizer,"38,505","36,478","32,203","21,884",0
King City,"3,700","3,111","1,949","2,060","1,853"
Klamath Falls,"21,890","20,840","19,460","17,737","16,661"
La Grande,"13,340","13,082","12,327","11,766","11,354"
La Pine,"1,840","1,653",,,
Lafayette,"4,105","3,742","2,586","1,292","1,215"
Lake Oswego,"38,215","36,619","35,278","30,576","22,527"
Lakeside,"1,735","1,699","1,421","1,437","1,453"
Lakeview,"2,300","2,294","2,474","2,526","2,770"
Lebanon,"16,920","15,518","12,950","10,950","10,413"
Lexington,265,238,263,286,307
Lincoln City,"8,730","7,930","7,437","5,908","5,469"
Lonerock,20,21,24,11,26
Long Creek,195,197,228,249,252
Lostine,215,213,263,231,250
Lowell,"1,195","1,060",880,785,661
Lyons,"1,195","1,160","1,008",938,877
Madras,"6,345","6,046","5,078","3,443","2,235"
Malin,815,805,640,725,539
Manzanita,640,598,564,513,443
Maupin,430,418,411,456,495
Maywood Park,750,752,777,781,845
McMinnville,"33,810","32,187","26,499","17,894","14,080"
Medford,"80,375","74,907","63,687","47,021","39,746"
Merrill,840,844,897,837,822
Metolius,740,710,729,450,451
Mill City,"1,865","1,855","1,537","1,555","1,565"
Millersburg,"2,315","1,329",651,715,562
Milton-Freewater,"7,105","7,050","6,470","5,533","5,086"
Milwaukie,"20,525","20,291","20,490","18,670","17,931"
Mitchell,140,130,170,163,183
Molalla,"9,625","8,108","5,647","3,651","2,992"
Monmouth,"9,890","9,534","7,741","6,288","5,594"
Monroe,625,617,607,448,412
Monument,130,128,151,162,192
Moro,330,324,337,292,336
Mosier,455,433,410,244,340
Mount Angel,"3,415","3,286","3,121","2,778","2,876"
Mount Vernon,525,527,595,549,569
Myrtle Creek,"3,490","3,439","3,419","3,063","3,365"
Myrtle Point,"2,535","2,514","2,451","2,712","2,859"
Nehalem,280,271,203,232,258
Newberg,"23,795","22,068","18,064","13,086","10,394"
Newport,"10,125","9,989","9,532","8,437","7,519"
North Bend,"9,815","9,695","9,544","9,614","9,779"
North Plains,"3,095","1,947","1,605",997,715
North Powder,445,439,489,448,430
Nyssa,"3,310","3,267","3,163","2,629","2,862"
Oakland,955,927,954,844,886
Oakridge,"3,280","3,205","3,172","3,063","3,680"
Ontario,"11,470","11,366","10,985","9,394","8,814"
Oregon City,"34,860","31,859","25,754","14,698","14,673"
Paisley,270,243,247,350,343
Pendleton,"16,810","16,612","16,354","15,142","14,521"
Philomath,"4,715","4,584","3,838","2,983","2,673"
Phoenix,"4,620","4,538","4,060","3,239","2,309"
Pilot Rock,"1,505","1,502","1,532","1,478","1,630"
Port Orford,"1,145","1,133","1,153","1,025","1,061"
Portland,"648,740","583,776","529,121","438,802","366,383"
Powers,695,689,734,682,819
Prairie City,915,909,"1,080","1,117","1,106"
Prescott,55,55,72,63,73
Prineville,"10,010","9,253","7,358","5,355","5,276"
Rainier,"1,925","1,895","1,687","1,674","1,655"
Redmond,"29,190","26,215","13,481","7,165","6,452"
Reedsport,"4,175","4,154","4,378","4,796","4,984"
Richland,175,156,147,161,181
Riddle,"1,190","1,185","1,014","1,143","1,265"
Rivergrove,505,289,324,294,314
Rockaway Beach,"1,350","1,312","1,267",970,906
Rogue River,"2,245","2,131","1,851","1,759","1,308"
Roseburg,"24,820","21,181","20,017","17,069","16,644"
Rufus,280,249,268,295,352
Saint Helens,"13,240","12,883","10,019","7,535","7,064"
Saint Paul,435,421,354,322,312
Salem,"165,265","154,637","136,924","107,793","89,091"
Sandy,"10,990","9,570","5,385","4,152","2,905"
Scappoose,"7,200","6,592","4,976","3,529","3,213"
Scio,920,838,695,623,579
Scotts Mills,375,357,312,283,249
Seaside,"6,660","6,457","5,900","5,359","5,193"
Seneca,200,199,223,191,285
Shady Cove,"3,105","2,904","2,307","1,351","1,097"
Shaniko,35,36,26,26,30
Sheridan,"6,190","6,127","5,561","3,979","2,249"
Sherwood,"19,505","18,194","11,791","3,093","2,386"
Siletz,"1,235","1,212","1,133",992,"1,001"
Silverton,"10,325","9,222","7,414","5,635","5,168"
Sisters,"2,725","2,038",959,708,696
Sodaville,345,308,290,192,171
Spray,160,160,140,149,155
Springfield,"60,865","59,403","52,864","44,664","41,621"
Stanfield,"2,185","2,043","1,979","1,568","1,568"
Stayton,"7,810","7,644","6,816","5,011","4,396"
Sublimity,"2,890","2,681","2,148","1,491","1,077"
Summerville,135,135,117,142,143
Sumpter,205,204,171,119,133
Sutherlin,"8,140","7,810","6,669","5,020","4,560"
Sweet Home,"9,225","8,925","8,016","6,850","6,921"
Talent,"6,380","6,066","5,589","3,274","2,577"
Tangent,"1,250","1,164",933,556,478
The Dalles,"14,735","13,620","12,156","11,021","10,820"
Tigard,"52,785","48,035","41,223","29,435","14,799"
Tillamook,"4,920","4,935","4,352","4,001","3,991"
Toledo,"3,490","3,465","3,472","3,174","3,151"
Troutdale,"16,185","15,962","13,777","7,852","5,908"
Tualatin,"27,055","26,054","22,791","14,664","7,483"
Turner,"2,085","1,854","1,199","1,281","1,116"
Ukiah,240,186,255,250,249
Umatilla,"7,320","6,906","4,978","3,046","3,199"
Union,"2,160","2,121","1,926","1,847","2,062"
Unity,75,71,131,87,115
Vale,"1,950","1,874","1,976","1,491","1,558"
Veneta,"4,790","4,561","2,762","2,519","2,449"
Vernonia,"2,065","2,151","2,228","1,808","1,785"
Waldport,"2,105","2,033","2,050","1,595","1,274"
Wallowa,805,808,869,748,847
Warrenton,"5,310","4,989","4,096","2,681","2,493"
Wasco,425,410,381,374,415
Waterloo,235,229,239,191,211
West Linn,"25,830","25,109","22,261","16,389","11,358"
Westfir,260,253,280,278,312
Weston,685,667,717,606,719
Wheeler,400,414,391,335,319
Willamina,"2,160","2,025","1,844","1,748","1,749"
Wilsonville,"25,250","19,509","13,991","7,106","2,920"
Winston,"5,480","5,379","4,613","3,773","3,359"
Wood Village,"3,920","3,878","2,860","2,814","2,253"
Woodburn,"24,760","24,080","20,100","13,404","11,196"
Yachats,745,690,617,533,482
Yamhill,"1,090","1,024",794,867,690
Yoncalla,"1,070","1,047","1,052",919,805